,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,268,-748.4533862399999,1.1393740144056732,19.376500359153304,8.328206167801802,0.3988989979334228,0.09099999999895679,1.9730525677394308
1,273,-734.0533862399999,1.1441126514791229,6.808235038541845,8.760338718707409,0.3999999999711011,0.091,2.1447663391776746
2,278,-719.6533862399999,1.0819630595010608,4.541924482599434,8.760206526634022,0.3999999998466342,0.09099999999999832,2.030516400502569
3,283,-705.2533862399999,1.2112285469026458,10.350854550115468,8.524641840853537,0.39999997768862505,0.091,2.1372270291379585
4,289,-687.97338624,1.1897559099799628,-6.049208285563427,8.91295042351986,0.3999999999998732,0.091,2.2000698645625802
5,294,-673.5733862399999,1.2927924306935572,-9.8099733425221,8.833169820288866,0.39999999999862995,0.091,2.512249717253154
6,299,-659.1733862399999,1.23777768831464,3.2603914388598554,8.605411138811554,0.399999999999998,0.091,2.5548627965924307
7,304,-644.7733862399999,1.265900531800225,1.1488943868720582,8.713580688792241,0.3999999999997104,0.091,2.5817990676432863
8,309,-630.37338624,1.135652610046505,19.119948762211713,9.035508464913221,0.39999934387891334,0.091,2.509259542451284
9,315,-613.09338624,1.2962679101890076,2.084914638440548,8.580600627929535,0.3999999999999999,0.091,2.56580388114947
10,320,-598.6933862399999,1.297976954467558,-1.4964751463293986,8.974296759300149,0.3999999999999589,0.091,2.7324213896115905
11,325,-584.2933862399999,1.254202100210523,7.222741613192397,8.38242661344394,0.39999996075614835,0.091,2.7186803117692895
12,330,-569.8933862399999,1.3108656651652304,7.231339447707992,8.416429151187103,0.399999999971174,0.091,2.7316651415757627
13,335,-555.49338624,1.2869786422927605,5.236715675504669,8.350359987918324,0.39999999916533646,0.091,2.764261867337286
14,341,-538.21338624,1.1118343669661548,-7.826299510738629,10.0,0.3999999999999912,0.091,2.1250056962099735
