,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general
0,366,-770.9745338550001,0.17728487196591564,0.07247108087177767,0.7330060043996176,0.8034919848255777
1,369,-755.5845338550002,0.1510134522306907,0.0824519247712665,0.7367991222113781,0.7604541164210876
2,372,-740.1945338550001,0.16094901301900755,0.08405138068556735,0.7493936501687627,0.9128927962867665
3,374,-729.9345338550002,0.17359719911730817,0.08405786988146484,0.7222112230052297,0.8671511123181239
4,377,-714.5445338550003,0.17600805988785623,0.0911772920019677,0.7293431949184922,0.8298832100933965
5,380,-699.1545338550002,0.18276577930037566,0.093259082973753,0.7067065633703563,0.7810426681241905
6,383,-683.7645338550001,0.1863359370046807,0.0987624338036357,0.7731105438478776,0.8567492008571028
7,385,-673.5045338550001,0.18765249591939231,0.10119729615341634,0.7106636379360153,0.65541427688969
8,388,-658.1145338550002,0.2083514200474171,0.10034334837543658,0.712945573910302,0.6993275083183284
9,391,-642.7245338550001,0.1920199779256722,0.10879015404536489,0.7659244287918382,0.9454721085567998
10,393,-632.4645338550001,0.19996701807565367,0.10925206793725567,0.7391953085703852,0.8138516603434085
11,396,-617.0745338550003,0.2096754507386318,0.11080448506017591,0.6779000931406102,0.6573009500280493
12,399,-601.6845338550002,0.22552533576338404,0.11531051932005683,0.6761616204359239,0.8143538731531301
13,402,-586.2945338550003,0.2372658897774527,0.11618669727846549,0.6304652996592305,0.7525501231853834
14,404,-576.0345338550001,0.2300692746729102,0.12019980029687251,0.6754222342596662,0.6977288459922234
15,407,-560.6445338550002,0.22355587166081262,0.12948113422250135,0.6789613944168504,0.7779338720565441
16,410,-545.2545338550003,0.2484677946668901,0.13096836418394636,0.718243994210626,0.9617336296467106
17,413,-529.864533855,0.25581951485508697,0.13391308021224316,0.7308693784279275,0.9891018713137619
18,415,-519.6045338550002,0.25951370378201555,0.1399726562788408,0.7167476801633746,0.7866055331775987
19,418,-504.21453385500035,0.2541552497897089,0.14837253758966207,0.6910525798373308,0.7314071338753982
20,421,-488.824533855,0.2604919294799285,0.1530768475651571,0.7171033612814541,0.8523489258320704
21,423,-478.56453385500026,0.26581655081114736,0.15531333429037134,0.6938266186692266,0.8698786262413182
22,426,-463.1745338550004,0.2627475265419028,0.1597296431162262,0.673313560722064,0.8042139612450521
23,429,-447.78453385500006,0.2642315387114026,0.16749859487912006,0.6524150677621188,0.8606521963198281
24,432,-432.3945338550002,0.2658898621885756,0.17046775465157812,0.6748659790336845,1.0938575698094126
25,434,-422.1345338550004,0.26762090537312505,0.1711839285810449,0.7024084929676464,1.065534994877108
26,437,-406.7445338550001,0.2667788573014795,0.17624239147962847,0.72961818941891,0.9795802285379768
27,440,-391.3545338550002,0.27888829723336206,0.17661374281841444,0.6486946057808838,1.0499014566513756
28,443,-375.96453385500035,0.27323845429306853,0.18095509492213743,0.6485436260108239,1.0471037611112308
29,445,-365.70453385500014,0.2801672948328192,0.1816986803191512,0.6929167361963257,1.0448733753225705
30,448,-350.31453385500026,0.2884324705343763,0.18106770467812075,0.6849480834922046,1.0179159306186225
31,451,-334.9245338550004,0.2799492677489403,0.18668201577744262,0.721891834554746,0.9985384565226325
32,454,-319.53453385500006,0.10381819721266593,0.23024551311843233,3.5522136372873203,0.5997051264925632
33,456,-309.2745338550003,0.24807668175093764,0.23069152979501928,0.505649426252704,0.814033890301069
34,459,-293.8845338550004,0.27626909422366014,0.18890333281986432,0.6148255923275399,1.0831295527869111
35,462,-278.4945338550001,0.27220196875092784,0.1918290568937811,0.7063048757533958,0.8913221520655117
36,464,-268.23453385500034,0.2894922106244089,0.1883850539439982,0.6866542865417171,0.9123547070602284
37,467,-252.844533855,0.2934769356742565,0.1869426388634955,0.6157605737546058,1.0494071668268394
38,470,-237.45453385500014,0.3044234289631862,0.18281051812603183,0.6402278644053035,1.0739431370152073
39,473,-222.06453385500026,0.29385491741139325,0.1870090330351929,0.6326216661412335,1.05956608990296
40,475,-211.80453385500005,0.2912265577892349,0.18952784667206715,0.6811680875499538,1.0440128994970959
41,478,-196.41453385500017,0.28297836859618214,0.19145654465342438,0.6918835361895743,1.038069220351117
42,481,-181.0245338550003,0.2952107937390007,0.18870632697681058,0.6514191059245303,1.009624040383406
43,484,-165.63453385500043,0.29909977635058604,0.1899525984136782,0.5681389336650112,0.945163898209397
44,486,-155.3745338550002,0.29618459816608805,0.1912984423717262,0.5439139488703908,0.9578204630212876
45,489,-139.98453385500034,0.2845686919515882,0.1934472179378012,0.6132270349478998,0.9497312797993075
46,492,-124.59453385500001,0.2874871590859031,0.1940611723743361,0.6737560156906095,0.963026369288315
47,494,-114.33453385500025,0.29419918069591816,0.19315297553218488,0.6208620690129153,1.0366959827677522
48,497,-98.94453385500037,0.2864232066423941,0.19471835253007627,0.5807258877609094,0.9827172919989118
49,500,-83.55453385500005,0.2999040930678933,0.1891723513523399,0.6342374274565321,0.8161751867764638
50,503,-68.16453385500017,0.29412028894619635,0.19154161724646437,0.590263409036083,0.7546923259978403
51,505,-57.90453385500041,0.3025286304524184,0.18910270375215454,0.6191373762932381,0.8256747722626012
52,508,-42.51453385500008,0.3063110143263684,0.1864950625799563,0.6401014469926448,0.766915207499052
53,511,-27.12453385500021,0.2979279045126684,0.18887869390469617,0.6137637109116403,0.9582626710433148
54,514,-11.734533855000336,0.3014409160147038,0.1912189278991349,0.6575040009343339,0.8647928177094327
55,516,-1.474533855000118,0.2853929422861722,0.19647807883686844,0.6824513278890202,0.8378053535219692
56,519,13.915466144999755,0.2787714488757762,0.19632274953480808,0.653399950525654,0.9271923370914376
57,522,29.305466144999627,0.298413845374418,0.1930917965729582,0.52371168372083,0.9615417105795905
58,524,39.565466144999846,0.29118746220726555,0.193264801589715,0.5809999285440797,0.9166968610459715
59,527,54.95546614499972,0.2918576452272872,0.19099988343543492,0.5978182477668927,0.8518335831803658
60,530,70.34546614499959,0.30626213976728994,0.18741045997387537,0.6641619379982395,0.735285070921126
61,533,85.73546614499992,0.2853005947144756,0.19531460839655435,0.5766483735867519,0.9513629854710932
62,535,95.99546614499968,0.3012573277473961,0.18791665198838942,0.6200317508695837,0.9356912328180489
63,538,111.38546614500001,0.3062243374452095,0.1852033512641556,0.6195745380613348,0.8585143135709198
64,541,126.77546614499988,0.2942726290775185,0.1881240754156911,0.6504591978893435,0.8919440429859076
65,544,142.16546614499975,0.29453038729604397,0.19079464040140628,0.5959677490147837,0.9829592268067843
66,546,152.42546614499997,0.2845785274359128,0.1932471711741326,0.5452842928624301,1.0033457681827336
67,549,167.81546614499985,0.28301545457149047,0.19372765600831693,0.6072678726921503,1.092514457737282
68,552,183.20546614499972,0.28377964257258687,0.1909582310878072,0.6593192737015218,0.9933476620668477
69,554,193.46546614499994,0.3004327793633244,0.18687086171199585,0.5889440032955617,0.9047017776399592
70,557,208.8554661449998,0.2960780831981478,0.18626004765306606,0.6729671802548678,0.8075631746700512
71,560,224.24546614499968,0.2720703981555725,0.1915551075365869,0.7082360885106547,0.9393708568413379
72,563,239.635466145,0.29302983943315747,0.1861208761738505,0.6400758327818707,0.943116288036377
73,565,249.89546614499977,0.3047241194312806,0.18268627787808592,0.6254430136188269,0.8579222655413468
74,568,265.28546614499965,0.302733087071879,0.18386432929818547,0.725227857135032,0.7733315239255322
75,571,280.675466145,0.2906217807396173,0.18495990426450148,0.6857503708599659,0.8833090256276006
76,574,296.06546614499985,0.27951360463360375,0.18922541686088803,0.6610208716824523,1.0229145577541856
77,576,306.3254661449996,0.27052123098824354,0.19167989990901113,0.6555673610389974,1.0275106528173268
78,579,321.71546614499994,0.2648238861532826,0.19473943072150196,0.6631694531428368,0.9184274114790903
79,582,337.1054661449998,0.2752584291548311,0.19295498514913778,0.5718827473416525,0.9290687576994077
80,585,352.4954661449997,0.2895658252600538,0.19039798650455741,0.588309174750814,0.9325876324114611
81,587,362.7554661449999,0.29587408172149054,0.18560142783024075,0.6055181603120514,0.9188114296963786
82,590,378.1454661449998,0.3062761606412586,0.1800626205621638,0.6790369168282969,0.7807824024539135
83,593,393.53546614499965,0.29381650960611233,0.18634096775734993,0.6750870430243261,0.9082420485638097
84,595,403.79546614499986,0.28854312571107565,0.1867632700318497,0.6361058443987716,1.0081555007766345
85,598,419.18546614499974,0.2726727983158224,0.18885598655968033,0.48516164954240926,0.9392108459670896
86,601,434.5754661449996,0.29748415470330075,0.17835538028618036,0.6068097959859682,0.7993776939324498
87,604,449.96546614499994,0.3233570683641379,0.1708385186328777,0.5624650529163883,0.8714738241074248
88,606,460.2254661449997,0.30115732959790276,0.17386956288941235,0.5655826952760244,0.85170920663052
89,609,475.6154661449996,0.2972644771427849,0.1711063836248187,0.5628582111569672,0.8567245200418044
90,612,491.0054661449999,0.3183021158010286,0.15812406082939348,0.5384442601061691,0.6849225199355523
91,615,506.3954661449998,0.2837003549607208,0.160172690138932,0.5979552152622784,0.6262103566601828
92,617,516.655466145,0.2803999085352952,0.15937535183837534,0.5738941901960554,0.6344049125446983
93,620,532.0454661449999,0.3060479168007095,0.15015939775505657,0.5755633816734969,0.6971711203415373
94,623,547.4354661449997,0.2998657290645292,0.14854978770810934,0.5283935516339416,0.6741859939841212
95,625,557.695466145,0.2982271878035607,0.1482159626519972,0.5042553799475967,0.6044986418466517
96,628,573.0854661449998,0.28784940944527254,0.1464015514884752,0.5223213336631102,0.747641414157851
97,631,588.4754661449997,0.29836348358000087,0.13923439456094014,0.6016078048156464,0.8251465920614626
98,634,603.8654661449996,0.28980783470117455,0.13605151284475858,0.5406314036886898,0.8438259123409364
99,636,614.1254661449998,0.26997883281464385,0.13364684271661245,0.4864901006058299,0.9066692411123127
100,639,629.5154661449997,0.23592150418878516,0.1340459326979207,0.536381706264837,0.7970867723734438
101,642,644.905466145,0.24337098217077027,0.12482683708652478,0.6029143822282824,0.6858681455322128
102,645,660.2954661449999,0.24124410366555848,0.12176541021836589,0.5487049272108929,0.7395971642287544
103,647,670.5554661449996,0.27194520000424593,0.11450452513348433,0.5293642773426275,0.6837008528612818
104,650,685.945466145,0.08038069188078054,0.2199325142163501,3.745706335040016,0.010000000010690041
105,653,701.3354661449998,1.9999998029091504,0.030000006030157497,0.24552586559686976,0.1969616803312167
106,655,711.5954661449996,0.22183711117803512,0.11144172896929619,0.47352593093950474,0.7690402917059465
