,lineout pixel,Time (ps),amp1_general,amp2_general
0,441,0,0.31736088300973286,0.2942679629009338
1,481,200,0.436571395275749,0.41461703906905023
2,521,400,0.5844034680495064,0.5317735311152326
3,561,600,0.12441710024948201,0.07613396039319748
4,601,800,0.06758091582790168,0.0376428938843526
5,641,1000,0.3424409938668807,0.3071591817238693
6,681,1200,0.30157961013200973,0.6017949944108466
7,721,1400,0.10730115189570355,0.2010430484024227
8,761,1600,0.04766480379613592,0.17439648339142466
9,801,1800,0.24486058636720415,0.13443442035260997
