,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,388,-798.3000903509999,0.9054588183159064,0.22771860210453906,0.3413530920946563,0.14483490492845358
1,394,-767.5200903509999,0.6371933911296704,0.5415540396795683,0.4471042796050238,0.13578848167971005
2,399,-741.8700903509998,0.7717480998323815,0.42871513792808846,0.382601021332899,0.15547557505165255
3,405,-711.0900903510001,0.9000424445135471,1.328061418408046,0.358522154537662,0.18320341624262484
4,411,-680.3100903509999,0.852527761076233,0.874235269695784,0.37097004263094185,0.1770226997554126
5,417,-649.5300903509997,0.9838745223007265,3.693817720998501,0.3404856059640851,0.20214511236190125
6,423,-618.7500903509999,0.9262428140997945,3.7446512222682538,0.3582580226678119,0.20093691746120781
7,429,-587.9700903509997,0.9555239175190422,3.749620078395563,0.36829437805523385,0.20989445700922435
8,434,-562.3200903510001,1.0266931731007116,3.7481589317784945,0.37903096336762493,0.20485091031648328
9,440,-531.5400903509999,0.9691106793538274,3.7496566701222713,0.36735176390121366,0.20599557703751492
10,446,-500.7600903509997,1.003973150385147,3.6425304381966424,0.3579063289727978,0.21506974257423705
11,452,-469.98009035099994,0.9323875969345344,3.3028576335663757,0.3843976365718382,0.2081240506568858
12,458,-439.20009035099974,0.9811314763401429,3.7497648101531276,0.38072028521473394,0.21131456752687008
13,464,-408.420090351,0.9417144496013315,3.7499698004903212,0.37527804898531697,0.210121248501764
14,470,-377.6400903509998,0.9170645508737086,3.748874453868446,0.405785712519812,0.211928625487842
15,475,-351.9900903509997,0.7959437768093099,3.6804377378487616,0.3937100079945708,0.2101302274901343
16,481,-321.21009035099996,0.9933209494406234,3.6834921121660917,0.3694373050463449,0.2190794426481294
17,487,-290.43009035099976,0.9146637479954037,3.729966421688715,0.3782562383857459,0.22503559330400016
18,493,-259.650090351,0.8728121125950763,3.732890810366064,0.392076777893026,0.22017835458362578
19,499,-228.87009035099982,0.8843214992618307,3.749194647160278,0.37659286454834895,0.2181759357405718
20,505,-198.09009035100007,0.8297369965811365,3.7485865251594985,0.4066218036322197,0.21269667467052547
21,510,-172.44009035099998,0.9044255679133116,3.749955221386517,0.3808955797992518,0.2223933050675653
22,516,-141.66009035099978,0.8494558420804441,3.7494746179894847,0.3881159627049145,0.21875272765001416
23,522,-110.88009035100004,0.8366032831477237,2.089131353283313,0.45562862369309354,0.20155809099300753
24,528,-80.10009035099984,0.9039771426238572,3.386939541782872,0.41757378829269776,0.20816402731333594
25,534,-49.32009035100009,0.7989861726285069,3.6958949464660735,0.38696705526954595,0.21456883870585047
26,540,-18.54009035099989,0.9378153542786916,3.717735474894455,0.387389297397253,0.21551537017517203
27,546,12.23990964900031,0.9622083565894017,3.526072718107636,0.39444670949490157,0.21444430065998088
28,551,37.88990964899995,0.9791139180103138,3.391087826151378,0.3880512811639644,0.21347805531782746
29,557,68.66990964900015,0.9226837275672073,2.7662275505976095,0.35950233959016736,0.22271446769673167
