,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general,Va_general
0,227,-849.4362915065309,0.16563690179031249,0.31191751040487625,1.0104138361652801,1.0104138361652801,-0.0443269655035845
1,244,-800.4762915065309,0.15387039601029315,0.3115294042273645,1.0104138361652801,1.0104138361652801,0.7526615081634365
2,262,-748.6362915065309,0.15113603356508376,1.7347283515217549,1.0104138361652801,1.0104138361652801,0.18587534449065046
3,279,-699.6762915065309,0.14497224174819534,1.9999974565423486,1.0104138361652801,1.0104138361652801,-0.008507564917122679
4,296,-650.7162915065309,0.15083280144221684,1.7347344379698657,1.0104138361652801,1.0104138361652801,0.18367879795112962
5,314,-598.876291506531,0.14514849641594127,1.9999974565423482,1.0104138361652801,1.0104138361652801,-0.006865691349721814
6,331,-549.9162915065309,0.15914545876754077,1.7347450172918253,1.0104138361652801,1.0104138361652801,-0.4064506709149427
7,348,-500.9562915065309,0.16784748235671448,1.9999974565423255,1.0104138361652801,1.0104138361652801,-0.552193053480126
8,366,-449.11629150653084,0.17843957560354884,1.7345981288634846,1.0104138361652801,1.0104138361652801,-0.6152470254948419
9,383,-400.1562915065308,0.1832949857519232,1.9999974565423142,1.0104138361652801,1.0104138361652801,-0.68333872399913
10,400,-351.196291506531,0.19361598813322145,1.7345072391735887,1.0104138361652801,1.0104138361652801,-0.37727143322023515
11,418,-299.35629150653085,0.177369542749432,1.9999974565423302,1.0104138361652801,1.0104138361652801,-0.5025891541081453
