,initial_losses,losses,initial_reduced_losses,reduced_losses
0,356.5520835064883,356.5520835064883,324.13825773317114,324.13825773317114
1,337.0011056779576,337.0011056779576,306.36464152541595,306.36464152541595
2,238.74493744432817,238.74493744432817,217.0408522221165,217.0408522221165
3,603.8076223442629,603.8076223442629,548.9160203129662,548.9160203129662
4,430.286460829017,430.286460829017,391.1695098445609,391.1695098445609
5,601.3008678042812,601.3008678042812,546.6371525493465,546.6371525493465
6,277.690778762675,277.690778762675,252.44616251152272,252.44616251152272
7,352.2208990932714,352.2208990932714,320.20081735751944,320.20081735751944
8,267.85678879994816,267.85678879994816,243.50617163631648,243.50617163631648
9,444.0046932132601,444.0046932132601,403.6406301938728,403.6406301938728
10,215.90859428246532,215.90859428246532,196.28054025678662,196.28054025678662
11,216.62897219608402,216.62897219608402,196.9354292691673,196.9354292691673
