,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,215,-901.0932479999999,0.8739292574981106,-31.987869142187776,8.866865130469726,0.06695678431131769,1.8925903337740082
1,225,-872.2932479999998,0.9911000937016997,4.937963056565245,8.968896759905654,0.11282284784853586,1.7911291446862319
2,236,-840.6132479999999,1.0695915252988093,36.30919970941454,9.118056061953151,0.09922558745284354,1.8834391459246331
3,246,-811.8132479999998,1.0426616227124403,35.89651356994594,8.74457192670613,0.11453534848385469,1.9486065619732025
4,257,-780.1332479999999,1.0349800704981973,36.4514326544173,8.671324162065112,0.1110982845847327,1.9819178098185064
5,267,-751.3332479999999,1.0154170185477345,38.79022670641474,8.622285026873378,0.13516876723230245,2.102423568478423
6,278,-719.6532479999998,1.0031008413150033,9.582505803356497,8.799849274920081,0.11089761665121595,2.207661968270361
7,288,-690.8532479999999,1.0774008330894544,12.61901869339657,8.860611544109705,0.1311100238917028,2.294023151555205
8,298,-662.0532479999998,1.0698774486932492,31.321253837843045,8.80493008363025,0.14706096611088787,2.5460487978415802
9,309,-630.3732479999999,1.0290039100620574,39.778352773908324,9.27758901872404,0.13188293365311676,2.7314630326377713
10,319,-601.5732479999999,1.031754947357467,28.123687535790083,9.077807961933107,0.17365033337424424,2.75682331664835
11,330,-569.8932479999999,1.0437959255780165,39.74079285969479,8.957582644519203,0.18123121322393348,2.8769922078379024
12,340,-541.0932479999999,1.0050482116123391,39.791126927006374,9.325882606043422,0.2382766641019758,2.447944521000119
13,350,-512.2932479999998,0.793241091428481,39.999904352419705,9.9867611296444,0.22431446197080313,2.578306703003694
14,361,-480.6132479999999,0.40991320912615525,39.99990622368814,6.132870413847801,0.3519519666516154,1.0003700642482232
15,371,-451.81324799999993,0.8114221968803128,39.999999932288475,7.179104876125447,0.08586242931998142,1.0002579611433933
16,382,-420.13324799999987,0.4131604126538584,39.99988565703548,6.023436753977482,0.3163825216001966,1.0000000000078615
17,392,-391.3332479999999,0.5448715466840128,39.99976299935068,8.339430015618866,0.33547654766486157,2.1058978813772953
18,403,-359.65324799999985,0.4937857627351677,13.100979285787403,5.477125567695751,0.5086087409956491,1.074193173601411
19,413,-330.8532479999999,0.48874042580405846,15.404253628043136,7.840940253571514,0.40467751465543017,1.8972570920204146
20,423,-302.05324799999994,0.684387230199765,19.7148816750122,7.9884371405279815,0.40176690800174675,2.1189782118473057
21,434,-270.3732479999999,0.9508801061536928,17.122302145350844,7.683539939269359,0.2711771464271123,3.3048395107539594
22,444,-241.57324799999992,0.8230952731298462,14.981387372211202,7.670303377109207,0.3181512056298338,2.753952548798868
23,455,-209.89324799999986,0.6395042772500592,11.81954981503032,7.495487971276059,0.2845931190629722,2.6214212355787696
24,465,-181.0932479999999,0.8691848263016957,11.400891028372016,7.474984008799964,0.26800852197893427,2.9096526081090914
25,475,-152.29324799999995,0.8121651375794623,10.04134068562611,7.586135451875698,0.2765395926796328,2.782338870513433
26,486,-120.61324799999988,0.8028745219178872,10.253518780639965,7.424768800187653,0.2818960211168946,2.8436111378999915
27,496,-91.81324799999993,0.7533811287673498,9.869970707561876,7.703681153383279,0.30320160845893523,2.774773463379838
28,507,-60.13324799999987,0.9161825180459384,9.556496342431174,7.637127525176112,0.28588856390258005,2.79342143301728
29,517,-31.333247999999912,0.8729804892922636,9.467312835944917,7.459327112553755,0.2830169293249651,2.4411060122013186
30,528,0.3467520000001514,0.9240764385332314,10.207652147983275,7.446386235060189,0.2801073008507044,2.5996845816475957
31,538,29.146752000000106,0.7587358400344124,9.600980977580292,7.034788414345986,0.2875809961595306,2.553548161602226
32,548,57.94675200000006,0.7964777994104791,7.450271151756233,7.33190021154034,0.32135358434011624,2.2937043406447524
33,559,89.62675200000012,0.7876652289554831,7.172302466195035,7.530133739161808,0.33067275860554296,2.2324019554373615
34,569,118.42675200000008,0.7703500995984635,7.303153781917629,7.079263021988847,0.33973402123688373,1.8195915817445119
35,580,150.10675200000014,0.7069654974638507,8.888528670877953,7.186199266226502,0.2989369365951005,1.641426463362338
36,590,178.9067520000001,0.5596154820194053,2.136071050216451,6.747449831216674,0.34576649461851255,1.3732486609523704
37,600,207.70675200000005,0.5478594071978953,-1.7680449347923073,6.82665606331436,0.41460669322950006,1.185003702895316
38,611,239.38675200000012,0.6697993104240991,1.2133956725728723,7.1042135871381795,0.31387479826141845,1.2728513590466215
39,621,268.18675200000007,0.6094260082464495,4.874836161927433,7.403530117828481,0.343630298709385,1.1821382297653713
40,632,299.86675200000013,0.670691858695405,9.162844196251207,7.024651947941191,0.27962653982832936,1.308231306629999
41,642,328.6667520000001,0.7382502240307426,11.642596042249025,7.448902391426142,0.21588895077257758,1.4320961856286767
