,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general
0,349,-998.3492999999999,0.04229521698113208,0.07240804344780766,0.34119234380578495,0.4190737561250248
1,358,-952.1792999999998,0.17325117617573585,0.03972714619871228,0.2810312597940946,0.62869766651512
2,368,-900.8792999999998,0.04564013011757083,0.0712423529722079,0.22684637687039266,1.2477536550405945
3,378,-849.5792999999999,0.2624454514936638,0.051739343683988206,0.3369341043592732,0.6050831862934197
4,388,-798.2792999999999,0.04296655467296491,0.07200987932182012,0.1304237031140394,0.2240071670404691
5,397,-752.1092999999998,0.16558925906048913,0.08013943349849036,0.2303233882523752,1.1288742370925025
6,407,-700.8092999999999,0.040507301063554504,0.06793013962866215,0.010407205495610186,0.010230536136147692
7,417,-649.5092999999997,0.16898967868665887,0.10233413461488043,0.14856920522864298,1.1979325814266462
8,427,-598.2093,0.032111495759070574,0.0700034684604038,0.010407193584192039,0.010230909604347001
9,436,-552.0392999999999,0.17993012724639126,0.11532936426688521,0.01859144220904984,1.2444766051093539
10,446,-500.73929999999973,0.03213074639822252,0.07014849681857067,0.010407193640715913,0.010230909766981941
11,456,-449.4393,0.1845485943183904,0.12056224597518064,0.018591800671171672,1.2414886647432932
12,466,-398.1392999999998,0.03132376195778118,0.07092011918263263,0.010407259410708471,0.01023091592760455
13,475,-351.96929999999975,0.1967636085935734,0.12429830698639958,0.01865482875608304,1.2456800438489368
14,485,-300.6693,0.031125461081836676,0.0687496207528567,0.010407259601872264,0.010230916634240457
15,495,-249.36929999999984,0.20122351085592044,0.12436770642806654,0.018655664671121654,1.2507805431274035
