,initial_losses,losses,initial_reduced_losses,reduced_losses
0,3240.326263692939,3240.326263692939,2945.7511488117625,2945.7511488117625
1,5914.648080566136,5914.648080566136,5376.9528005146685,5376.9528005146685
2,81.87699079052702,81.87699079052702,74.43362799138819,74.43362799138819
3,21559.22410636306,21559.22410636306,19599.294642148234,19599.294642148234
4,17724.04764353002,17724.04764353002,16112.770585027289,16112.770585027289
5,63579.88484828407,63579.88484828407,57799.89531662188,57799.89531662188
6,48331.765012483156,48331.765012483156,43937.9681931665,43937.9681931665
7,96497.99150667722,96497.99150667722,87725.44682425201,87725.44682425201
8,3044.5031263012593,3044.5031263012593,2767.7301148193264,2767.7301148193264
9,5376.847193578498,5376.847193578498,4888.04290325318,4888.04290325318
10,188421.5841070151,188421.5841070151,171292.34918819554,171292.34918819554
11,147314.77696819513,147314.77696819513,133922.52451654102,133922.52451654102
12,58964.05227331413,58964.05227331413,53603.68388483103,53603.68388483103
13,80889.98832505022,80889.98832505022,73536.35302277292,73536.35302277292
14,1863.185580894401,1863.185580894401,1693.8050735403644,1693.8050735403644
15,12384.671073685478,12384.671073685478,11258.791885168615,11258.791885168615
16,74739.2210187603,74739.2210187603,67944.74638069118,67944.74638069118
17,55892.9588960815,55892.9588960815,50811.780814619546,50811.780814619546
18,28663.825535093925,28663.825535093925,26058.02321372175,26058.02321372175
19,3680.7657175473237,3680.7657175473237,3346.1506523157486,3346.1506523157486
20,1926.4491249751661,1926.4491249751661,1751.31738634106,1751.31738634106
21,16102.924808187237,16102.924808187237,14639.022552897488,14639.022552897488
22,1432.4715338072428,1432.4715338072428,1302.2468489156752,1302.2468489156752
23,211.08330049554684,211.08330049554684,191.8939095414062,191.8939095414062
24,1833.5480592192907,1833.5480592192907,1666.8618720175368,1666.8618720175368
25,1776.5157558548015,1776.5157558548015,1615.014323504365,1615.014323504365
26,1031.8091950046119,1031.8091950046119,938.0083590951016,938.0083590951016
27,1587.777760835687,1587.777760835687,1443.4343280324426,1443.4343280324426
28,1508.7689061940819,1508.7689061940819,1371.6080965400743,1371.6080965400743
29,1679.744027277729,1679.744027277729,1527.0400247979353,1527.0400247979353
30,174.3905245355954,174.3905245355954,158.5368404869049,158.5368404869049
31,168.7323362956316,168.7323362956316,153.39303299602872,153.39303299602872
32,159.27669533304726,159.27669533304726,144.79699575731567,144.79699575731567
33,201.80511430127922,201.80511430127922,183.45919481934473,183.45919481934473
34,264.7213913022774,264.7213913022774,240.65581027479763,240.65581027479763
35,1314.9222935089658,1314.9222935089658,1195.3839031899688,1195.3839031899688
36,212.3605086147227,212.3605086147227,193.0550078315661,193.0550078315661
37,214.98950203054005,214.98950203054005,195.44500184594548,195.44500184594548
