,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,368,-900.9000903509998,0.9154093241636622,0.04005363881184737,0.26941272619804246,0.1429907374129799
1,372,-880.3800903509998,0.8674902577294015,0.1445193926575758,0.2505778827161492,0.1420869206226746
2,376,-859.8600903509998,0.8086602310707705,0.09599700029388852,0.2591008777839634,0.151265694671358
3,380,-839.3400903509998,0.8652152244631911,0.10701599528840984,0.25621282719715355,0.15779187750230989
4,384,-818.8200903509999,0.39492422063405463,0.6931138732999838,0.969187120875349,0.01086208712825829
5,388,-798.3000903509999,0.9138712400755689,0.16991396817448112,0.2889457446952267,0.16156093670376928
6,392,-777.7800903509999,0.28662189913900216,0.8928092646601792,0.6236099973799563,0.01013751838311755
7,395,-762.3900903509998,0.7880670884264801,0.3624297106854346,0.34161815623703284,0.16467687737019174
8,399,-741.8700903509998,0.8128992296725034,0.3447022143229356,0.3180160713152337,0.17506876373187077
9,403,-721.3500903509998,0.24456888760052,0.3538621820949607,1.9673949410238927,0.010985221075174537
