,lineout pixel,Time (ps),Te_species1,ne_species1,amp3_general
0,299,1500,0.34999692811888,0.1699969067266208,1.0
1,319,1600,0.3499935544999238,0.16999387339274544,1.0
2,339,1700,0.3500050334975891,0.16999726326409145,1.0
3,359,1800,0.35000571403441816,0.1699910764032503,1.0
4,379,1900,0.3500005866529358,0.16999826048355457,1.0
5,399,2000,0.33151180276077574,0.14851868754663963,1.0
6,419,2100,0.32515912972073846,0.18971014093748,1.0
7,439,2200,0.3352140781250098,0.14947859623940515,1.0
8,459,2300,0.31557975136668837,0.13135850868455418,1.0
9,479,2400,0.38087877994518476,0.1539309715170685,1.0
10,499,2500,0.32397592518577284,0.15592073562859898,1.0
11,519,2600,0.3277714064591886,0.15271501438924848,1.0
12,539,2700,0.31954903991522104,0.15012858780492003,1.0
13,559,2800,0.34893502254461123,0.1383358783855792,1.0
14,579,2900,0.3176446682702349,0.13065563692154614,1.0
15,599,3000,0.35455431304874335,0.13719232022823105,1.0
16,619,3100,0.29184140956140464,0.1467663760143677,1.0
17,639,3200,0.3481575778809373,0.13313235665920445,1.0
18,659,3300,0.2849692642741289,0.13224791302948571,1.0
19,679,3400,0.2766227021732487,0.1254753129439298,1.0
20,699,3500,0.34999145714232965,0.16998760953479297,1.0
21,719,3600,0.35000051165239765,0.17000745444330928,1.0
22,739,3700,0.3499972641976246,0.1700087351878553,1.0
23,759,3800,0.3499918697362326,0.17001363679097717,1.0
24,779,3900,0.34999218825663575,0.1700061925832774,1.0
