,lineout pixel,Time (ps),Te_species1,ne_species1,amp1_general,amp2_general,lam_general
0,280,1405,0.6245505284385181,0.2749578870981281,0.01,1.0556671398055846,526.589630416688
1,290,1455,0.6525508106454881,0.2347232414206019,0.16360171451130262,0.8365149847171971,526.4690197236552
2,300,1505,0.1842684558111212,0.12887158829679995,0.7744612847501425,0.5785553781751864,524.3496278934916
3,310,1555,0.2573500270351855,0.16538937390886538,0.7957116914292511,0.5917247125197733,523.8113277732919
4,320,1605,0.3491238770211121,0.1961812671994829,0.7897242451962158,0.5665807921160984,523.7754736079734
5,330,1655,0.3980154983566378,0.21788888447669305,0.7414607117579114,0.46760460305978085,523.6397102328809
6,340,1705,0.4501348991351081,0.23405872318541895,0.7640119683265736,0.50159208143194,523.7307357968632
7,350,1755,0.4583884617703355,0.23960854500698162,0.7479885252082034,0.4956285808110478,523.6494865144091
8,360,1805,0.5205940660733498,0.2461814617914904,0.6971380617976157,0.4122575993552261,523.8379617974853
9,370,1855,0.5123373577586853,0.25786976413744217,0.6985122269502274,0.4811886687881137,523.7551952210032
10,380,1905,0.5500850654994024,0.2567641626263414,0.6692128887519601,0.5050457712721586,523.6798081823583
11,390,1955,0.5563433226094989,0.26305511522337044,0.6694867763810078,0.42382487492838417,523.6068354748944
12,400,2005,0.5578196030626397,0.2771116264617954,0.7184919341090494,0.4109844387180689,523.7956898015746
13,410,2055,0.5754478949525595,0.27829400468023474,0.696301646233941,0.3833089795698514,523.8217353061208
14,420,2105,0.5934523155511457,0.27178651202483617,0.6572780953216707,0.38003689680986835,524.1534658450844
15,430,2155,0.6176682407817489,0.26961964151028395,0.6604579545678898,0.39633982982190014,524.1633912208907
16,440,2205,0.6038716849025768,0.26608394662030865,0.6878284465192732,0.3953393311333458,523.3318845759279
17,450,2255,0.629250613833507,0.2609947851023868,0.6477783692918235,0.446480191651844,523.42687531718
18,460,2305,0.6255016747362441,0.2685980202065851,0.6653140939038854,0.34148821582499506,523.626166676858
19,470,2355,0.6574144823691119,0.2609377335301383,0.6838744881249861,0.40885737014431783,523.5922905389178
20,480,2405,0.598781469195768,0.2649156712665671,0.6606418244640356,0.3297755990528388,523.500577084
21,490,2455,0.6509584878171076,0.24840409174843672,0.6587961925328094,0.40741929034799185,523.6136944365176
22,500,2505,0.6486171225129231,0.25329050494152905,0.6478087729731787,0.40388249070694143,523.9958348265213
23,510,2555,0.6229389051099739,0.25146864606038505,0.6388684550642161,0.3844441366897856,523.7896974781695
24,520,2605,0.572835174698579,0.2433460923361427,0.6649279114252105,0.37292356647495506,524.1668782603257
25,530,2655,0.5003137963401102,0.23766030671419433,0.7448640329490555,0.47229984025548266,524.0198709412028
26,540,2705,0.4066616636194658,0.23421112074673725,0.7135634234604348,0.3978943133574269,523.8864932405621
27,550,2755,0.3933101613675064,0.22293869680198766,0.7257001059393041,0.417865263285083,523.5689940344706
28,560,2805,0.3623502330965779,0.21876373200241248,0.7102332598324136,0.39647935097283327,523.7925289912312
29,570,2855,0.34817583761302184,0.2126256488539059,0.7469165786840511,0.4593399464431086,523.8528634381488
30,580,2905,0.3396282689095776,0.20000487713432097,0.7128103380457012,0.5018622706963018,523.8279575813028
31,590,2955,0.31570671134385947,0.19580806029611225,0.7359028083999121,0.4439895993161673,523.8392000113797
32,600,3005,0.30880794874436535,0.1861637168727309,0.7299058572189578,0.4641507768451351,523.6973792407601
33,610,3055,0.27746318806106285,0.18591009218138535,0.7242356455166779,0.4338128666207872,523.6316235310678
34,620,3105,0.26981596698767224,0.178009287938078,0.7328365179736837,0.4725010132408642,523.557111346288
35,630,3155,0.27899443291772763,0.16706120735297897,0.6768148602007462,0.48292784766391383,523.6693506498873
36,640,3205,0.26331129636564865,0.1891294279492588,0.7408611483097166,0.05269736134279573,525.8650702659676
37,650,3255,0.25205863570990256,0.1782638024855415,0.7216680947711009,0.14071813177632225,525.6605595268479
38,660,3305,0.24069816797532134,0.15860817864850518,0.6509219871360585,0.4840414360431604,524.0748423270982
39,670,3355,0.2684969217997584,0.14421300496897682,0.682171117067049,0.5468820150003435,523.8952249043714
40,680,3405,0.1425618336630837,0.20770401598824534,0.9189738834876497,0.09379376270971873,525.9319753064786
41,690,3455,0.4944059111827794,0.11498660314358294,0.31619084620708166,0.18299371333556244,526.6001112719059
