,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general
0,329,-960.7845338550003,0.015966123436735542,0.06370427790979918,0.06682182789220355,0.19967783374438364
1,331,-950.5245338550003,0.01375518926761571,0.03771556587494493,0.04788522326738136,0.34972589979992613
2,333,-940.2645338550001,0.26062117574894,0.09904055184388764,0.036555354402735475,0.8966160166918169
3,335,-930.0045338550001,0.0615436246134345,0.10248327781940303,0.0845914280275923,0.27622201152091036
4,337,-919.7445338550001,0.032308227734433495,0.3924310799503198,0.0667940255590122,0.48491159707650844
5,339,-909.4845338550001,0.037530254294148774,0.552754857876442,0.05887214822911288,0.4516501033335545
6,341,-899.2245338550001,0.12790514846718612,0.27179758699044915,0.01003242262625068,0.916721068796918
7,343,-888.9645338550001,0.9097310164348258,0.20977141982814798,0.3520858747207011,3.749999298693345
8,345,-878.7045338550001,0.043765926204603865,0.25512296508688787,0.15483405985343587,0.7018308599938614
9,347,-868.4445338550001,0.06246170266207643,1.0559976062000445,0.15340309061412893,0.575354452106851
10,349,-858.1845338550002,0.044280688613524764,0.10265555436387465,0.3086661038104166,0.7225950521143166
11,351,-847.9245338550002,0.18757855947908256,0.5345117659871575,1.546443788364239,0.6602248869706093
12,353,-837.6645338550002,0.05377997930840695,0.5922123401656095,0.21163603641604256,0.6232216168004299
13,354,-832.5345338550003,0.051913978573876,0.6338843526850295,0.2038186952920675,0.6362860478734013
14,356,-822.2745338550003,0.01627305407223139,0.039967215542052056,0.27206871807712013,0.5423318308001842
15,358,-812.0145338550001,0.039946913165780334,0.4894823960525161,0.135983457584591,0.5460001883402171
