,lineout pixel,Radius (\mum),Te_electron,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,233,-849.2532479999999,0.12000381216350357,1.0061658867979437,19.947664398655114,9.07572324980336,0.10206086284814672,3.848753700187836
1,242,-823.3332479999999,0.12000381200872742,1.036904391647772,19.948051324867016,8.646260871233785,0.12448843014177603,4.002328219296018
2,250,-800.2932479999998,0.12000381110939391,0.9708612608403258,19.949587280951377,8.770321399100968,0.1039070961824499,3.9466604193566655
3,259,-774.3732479999999,0.12000381117131242,1.0259504500109662,19.949621483872406,8.903835888571578,0.11069097637810288,4.319130883426066
4,268,-748.4532479999998,0.12000381068588134,1.0218920111703669,19.95061460936528,8.527487589571802,0.12774401250428302,4.5382283650292266
5,276,-725.4132479999998,0.12000400252245248,0.9375939888983519,1.2423396279755394,8.786198837816105,0.13,4.584804962549857
6,285,-699.4932479999999,0.12000400247636087,1.1232131069490852,16.746312214467032,8.670674754510468,0.13,4.733570431844236
7,294,-673.5732479999998,0.1200040040263662,1.1655668482355928,-3.1240611291570737,8.812818522099178,0.13,5.478672729146688
8,302,-650.5332479999998,0.12000400406882808,1.1274006918375836,11.343757718958315,8.673184982604628,0.13,5.736245246657564
9,311,-624.6132479999999,0.12000400359914269,1.0646511740988542,18.910058711766112,9.083248186101969,0.13,5.500204414664795
10,320,-598.6932479999998,0.12000400911258786,1.1765039117616243,2.6172794750095107,8.957499475852522,0.13,6.061000530116618
11,329,-572.7732479999999,0.12000400938156662,1.1910420724937025,8.600010148752677,8.671182022441247,0.13,6.2171191586508785
12,337,-549.7332479999999,0.12000400990239286,1.2533206575064062,5.368864474933627,8.6310093471211,0.13,6.37759578245316
13,346,-523.8132479999998,0.12000400817042392,0.8850235945084928,18.098976233013047,9.045533333388551,0.13,5.020697795814824
14,355,-497.89324799999986,0.12000400407740655,0.7356589716378409,19.991684016238494,9.722364220830492,0.13,4.72703638235379
15,363,-474.8532479999999,0.12000399862945811,0.6700832132495212,19.99190824767301,9.999976188727626,0.13,4.520892099995394
16,372,-448.9332479999998,0.1200039987959765,0.991310707005277,19.991910061873874,9.99997618855756,0.13,5.206940661043718
17,381,-423.013248,0.12000399855566525,0.7947326055208734,19.991912353545885,9.999976189130095,0.13,4.688781780395358
18,389,-399.9732479999998,0.12000399860508987,0.9745565628790315,19.991913659781446,9.999976188999938,0.13,4.943222668976943
19,398,-374.05324799999994,0.12000399847624248,0.8224727767269884,19.991915632060604,9.999976189413033,0.13,4.695649616760602
20,407,-348.13324799999987,0.12000399839589243,0.7146783789948354,19.99191691682526,9.999976189612546,0.13,4.514178640356587
21,415,-325.0932479999999,0.1200039983557537,0.8894027131840653,19.991916361984913,9.99997618962475,0.13,4.295552776040779
22,424,-299.17324799999983,0.12000399838743728,1.130787893315251,19.991915346788048,9.999976189389859,0.13,4.3045588145289155
23,433,-273.253248,0.12000399835958539,0.8309840432716606,19.991906442956136,9.9999761890627,0.13,3.256794017852858
24,441,-250.2132479999998,0.1200039983206297,0.9490266818915749,19.991905165983262,9.999976189560208,0.13,2.921009405508579
