,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron,m_electron
0,329,-960.7845338550003,0.3508396329113277,0.5099783353941406,0.11967144846665614,0.18901439202526088,2.030308882289144
1,334,-935.1345338550002,0.366377938760611,0.4169321704559629,0.3384463112827794,0.12026680093092898,2.02992590192495
2,339,-909.4845338550001,0.2907277826420719,0.3882283612409249,0.11406752657522058,0.17756628717804757,2.0302933519910105
3,344,-883.8345338550002,0.7897402805614016,0.5932325194017495,0.1391513319378405,0.06125015464553965,2.029864920142493
4,349,-858.1845338550002,0.7226299117120033,0.8405200628824576,0.13902952369003613,0.06680534808778252,2.02987682222573
5,354,-832.5345338550003,0.3603875336140966,0.5511994082885292,0.12386382323923646,0.3591548963838592,2.03094166193785
6,358,-812.0145338550001,0.32261182910578645,0.36212744744161107,0.39770107754083006,0.05233151676020452,2.0297480927708627
7,363,-786.3645338550002,0.27020919051853853,0.38473158464471663,0.1102969979585601,0.19908844169897483,2.0303553884616488
8,368,-760.7145338550001,0.7098967126586934,0.7350260597820919,0.15926066131350125,0.07830913198360193,2.029894661542056
9,373,-735.0645338550003,0.7563643063391604,0.9323574573154311,0.1618819578987067,0.08500356629254587,2.0298817577339534
