,lineout pixel,Radius (\mum),Te_electron,amp3_general,ud_general,Va_general,Ti_ion-1
0,233,-849.2532479999999,0.08927453449260975,1.0292774747309215,17.748919425682168,9.084397785470347,0.10041600714722779
1,243,-820.4532479999998,0.09038812654189389,1.0142173497014957,21.392194955362534,8.675513279432028,0.13414973403639674
2,254,-788.7732479999999,0.09189777138179056,0.9970885329672878,14.134812897966036,8.706911549661335,0.10390713360326452
3,264,-759.9732479999999,0.0971813270957676,1.0248862727964583,20.02633413611128,8.882879370988729,0.12672959672987383
4,275,-728.2932479999998,0.11456693802202472,1.061956980903655,-4.840688518361766,8.699787923290824,0.10857290770390049
5,285,-699.4932479999999,0.10879429629713723,1.0756478177782722,23.396786291864025,8.747216233360984,0.14378309228298194
6,296,-667.8132479999998,0.12416778743126794,1.067631100734441,11.128241806056032,8.821801779640271,0.146361692872994
7,306,-639.0132479999999,0.12621710418417184,1.01501544794181,34.63271957981709,9.1408272015302,0.1561149850383865
8,316,-610.2132479999999,0.13385302286251843,1.0747823285627556,19.760180349854117,8.823491673149949,0.17175239663911152
9,327,-578.5332479999998,0.14001388910054535,1.001669841448695,25.269799475100314,8.951476797260138,0.1710166442982643
10,337,-549.7332479999999,0.12705156470853968,0.9812309257854345,39.83958930521723,9.209407972673048,0.24220583864885403
11,348,-518.0532479999998,0.10455015013364832,0.8405170079356427,39.986198296630334,9.42022723022906,0.22794204056381356
12,358,-489.25324799999976,0.01000000000000149,0.8185676446912462,39.94731912069818,5.811598451985301,0.11935274621378479
13,368,-460.4532479999998,0.01000000312057487,0.8271376454632865,39.99957799057367,4.763993744402983,0.10683770531259244
14,379,-428.77324799999997,0.010000000085557063,0.8419136884175741,39.99999999593879,3.896033371323462,0.2694638382983393
15,389,-399.9732479999998,0.010000099192484478,0.7760465506146563,39.99999983295717,3.573898309042786,0.2807265278394923
16,400,-368.29324799999995,0.010000000000001055,0.8392031414207533,39.298523381373954,4.854794073024415,0.21837387770450112
17,410,-339.49324799999977,0.010000000590329657,0.7575790481114197,39.99998981384648,4.698596184829647,0.43220466996831075
18,421,-307.81324799999993,0.11717274457229927,0.7846072381461929,14.118956600028163,8.070076986138993,0.3163170044784066
19,431,-279.013248,0.15518640696052108,0.9721870840034956,12.124565267889686,7.86371348690799,0.28605709683685926
20,441,-250.2132479999998,0.1554212539989429,0.9309534875811747,11.398236939743008,7.755246617412823,0.29056919613641663
21,452,-218.53324799999996,0.14948052315500718,0.8713174843511506,11.424313209621964,7.84507157125709,0.27294222422424214
22,462,-189.73324799999978,0.1535149900754536,0.7214018588482527,11.319213313633696,7.705749024425579,0.29195984016444837
23,473,-158.05324799999994,0.14058153894146358,0.8691010715904601,10.471022824885601,7.727300546352222,0.2765782630704821
24,483,-129.25324799999999,0.14265721446399127,0.8299628291335911,10.762867113141048,7.678879732644756,0.2759590837605631
25,493,-100.4532479999998,0.14432613990487006,0.9438820118424417,13.544793960411035,7.410232398936085,0.29693715078462374
26,504,-68.77324799999997,0.1404043192404874,0.9099311527439694,12.04583140491696,7.759731088422463,0.3141464855016163
27,514,-39.973247999999785,0.11891879193136229,0.8687818669814551,11.185699191513024,7.5386635666124135,0.3133075419048199
28,525,-8.293247999999949,0.12281999588420792,0.8596219530293284,11.896318779355724,7.224323740873896,0.29491944053619895
29,535,20.506752000000006,0.23950421525777238,0.5118105290900338,13.783653903434086,1.260976809941937,0.7923920782428038
30,546,52.18675200000007,0.11532303010040515,0.8183525067825863,8.85776779784878,7.300310391391687,0.3175492708051873
31,556,80.98675200000002,0.10535854718417906,0.7816850303904038,7.819590050998158,7.337153374169866,0.33334593005022456
32,566,109.7867520000002,0.1023950705477817,0.8434098314913095,9.703611645929378,7.177055392426059,0.3140585752020844
33,577,141.46675200000004,0.0861435093533048,0.7570290612989908,10.711795287549954,7.170554223748475,0.3359994281044133
34,587,170.266752,0.06998148935379038,0.6271741750389009,9.623103542031508,6.448647721783683,0.30347429222441596
35,598,201.94675200000006,0.0584408674121379,0.5647320131969573,2.186046418969539,6.954679567809926,0.36267624742157845
36,608,230.74675200000001,0.04227255210715619,0.6860538722046113,-1.756735179593683,7.242121949815324,0.4286087180820015
37,618,259.5467520000002,0.0465367115773936,0.6877512618334194,2.1763750841123652,7.153316172403898,0.3487602301306815
38,629,291.22675200000003,0.04625758384292412,0.6997201359290758,1.8446579868669204,7.421495383821664,0.3139113918037714
39,639,320.026752,0.046759140772753185,0.7060195478231885,4.823988829152974,7.088343554971928,0.2652083572695507
40,650,351.70675200000005,0.04256895274604595,0.7307605564663087,10.034654757451953,7.233578532087705,0.22040124826538016
41,660,380.506752,0.04806144171054819,0.8240409461916192,13.35367548850867,6.7379843950819485,0.1669961281907179
