,lineout pixel,Radius (\mum),Te_electron,amp3_general,ud_general,Va_general,Ti_ion-1
0,227,-849.43584,0.14800864605230654,1.1379176072736499,-0.3881634042724613,1.534677942592701,0.007831291812289984
1,235,-826.39584,0.11553426345100662,1.1437725172823816,39.95257564950201,1.7510303317810276,0.055320343555325835
2,244,-800.47584,0.12777892553129372,1.2581400835192216,-19.995559249377518,1.3485847061963838,0.04436033299142585
3,253,-774.55584,0.12493722715466726,1.1009350628660621,-19.999956042097793,1.377776310695653,0.042648977083459064
4,262,-748.63584,0.1448822229371775,1.1870088592651793,-1.0309587115614747,1.6734461885394847,0.036104995549757435
5,270,-725.59584,0.1514999221169204,1.1785015255635563,-2.8364642957437773,1.2385355178272324,0.03824312283048169
6,279,-699.67584,0.1495685502643215,1.2012941076331933,-0.9940583214883638,1.34718239271203,0.03650522927385054
7,288,-673.75584,0.16394179218905552,1.2587207396369935,-0.6171210143636827,1.5141279964533965,0.039858462595732905
8,296,-650.71584,0.18275346442733756,1.2294078657343583,-0.5640388445389455,1.4434609319974392,0.045114952121932735
9,305,-624.79584,0.1878235713029037,1.2078655764190154,-1.3660188127237198,1.605459948782368,0.04621140074593826
10,314,-598.87584,0.18790482910577308,1.2305476224020162,-1.4999730034087335,1.4775313151299514,0.0447663228143784
11,322,-575.83584,0.21232875040791518,1.2618602686411626,-1.393703144886306,1.6913902470453621,0.05218673757624986
12,331,-549.91584,0.2072560538924021,1.2144001856587057,-2.660471109646817,1.294867436179599,0.05168726880075996
13,340,-523.99584,0.21605274165027424,1.228235842914795,-0.41410586607571176,1.695384067409524,0.05221114967734992
14,348,-500.95583999999997,0.17918887442363435,1.2329299941867968,-2.5901462568357765,2.581649648469572,0.015503692833907685
15,357,-475.03584,0.13477166991454634,0.9493646653272293,39.98756797127256,3.188187401599375,0.06911670965372287
16,366,-449.11583999999993,0.11354602606936587,1.0619879967565573,28.4942060461683,3.092504508421708,0.1131403251686806
17,374,-426.07583999999997,0.08628552792724746,0.26936037157437875,-17.707985029386794,-3.6101255750235692,0.03020280108917095
18,383,-400.1558399999999,0.11439360177919873,1.055660545011673,39.99999999199479,3.1533832327341678,0.1153975705266238
19,392,-374.23584000000005,0.2505856437257381,0.7420544999565318,-19.979987494380588,0.764867301534025,0.08494236250016693
20,400,-351.1958400000001,0.14080530390306462,1.1939893504647152,39.999424341236825,2.8112598022193325,0.07042298537689445
21,409,-325.27584,0.2609768246078654,0.6914228547118199,-1.8493167148204392,0.83203348092594,0.06618318571723969
