,lineout pixel,Radius (\mum),Va_general,amp3_general,lam_general,ud_general,Te_species1,Ti_species2
0,310,-697.41,0.5111406280364887,0.8644691474246793,526.3456580637616,0.5000105364746339,0.2920790536778981,0.03822922295718862
1,335,-625.66,0.5463798520851704,0.8689878577401597,526.341631760186,0.5005616946483098,0.32900804940323786,0.04550641233421594
2,360,-553.9100000000001,0.5281658512802221,0.8285084141970701,526.3446456181957,0.49961328877687594,0.35044624239667754,0.0509730452852041
3,385,-482.1600000000001,0.5258467780372725,0.8827847289838706,526.3550734019441,0.4996268390292239,0.38189174666997805,0.05608023681931322
4,410,-410.4100000000001,0.5170186079332376,0.8362618632233422,526.3656736601363,0.4996840659872843,0.39970865294682784,0.05822627846604209
5,435,-338.6600000000001,0.535616197828989,0.8706610117078273,526.3726237266251,0.4998045120737625,0.4121588002900631,0.06338843811277114
6,460,-266.9100000000001,-1.0,0.86463937607023,526.3582882824958,0.5570088806393704,0.4122620999196394,0.06480048320262902
7,485,-195.15999999999985,-1.0,0.9081698465251159,526.370588009622,0.5207944303971787,0.41321963240237014,0.06666909678928554
8,510,-123.40999999999985,0.108664207632383,0.8917494100589727,526.4109368873836,0.5072902809917685,0.4151897507692454,0.06342283958225815
9,535,-51.659999999999854,-0.5087913773163643,0.7510867189318329,526.411956295566,0.5169907040949903,0.3896660330269284,0.061423635134132196
10,560,20.090000000000146,0.48301850586934736,0.8331501472281428,526.4410068188178,0.5005605786204591,0.37090546827619647,0.05816602944479113
11,585,91.84000000000015,0.47011491539281325,0.7267276894646115,526.4583719146747,0.5003348681534637,0.3662466344112898,0.04964509851702846
12,610,163.59000000000015,-1.0,0.7256090517781024,526.4336022983133,0.4826929962322417,0.3485873144760089,0.04305060475721083
13,635,235.34000000000015,-1.0,0.6319712390112788,526.4323731651635,0.48853923869765875,0.3114174669342874,0.039118063767470526
14,660,307.09000000000015,0.4820715565415123,0.7233872987975475,526.4489425917844,0.5006600151299125,0.30241384384768377,0.03175770108933438
15,685,378.84000000000015,0.4785460606689309,0.6605668298790695,526.4536073361163,0.5006338562663272,0.30691592390832095,0.026120900067220516
