,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,247,-801.8657263057012,1.005166243495064,39.983924605937304,1.4740784655740278,0.13304269416138575,2.615350860991855
1,254,-781.7057263057012,1.011502093366517,39.97778862373558,0.990206964470012,0.12894449163674027,2.8112538719816484
2,261,-761.5457263057012,1.0418521697956789,39.9953982276608,0.9169465666028067,0.1372392813466072,2.7613423271031055
3,268,-741.3857263057012,1.0166680819150595,39.99903842786043,0.6640598048420436,0.13977428763473213,2.7723611599351106
4,275,-721.2257263057012,1.0049341517884796,39.99939166243229,0.39193635740124577,0.13142389503061316,2.4258500357781916
5,282,-701.0657263057012,0.9665843118633106,39.999397292995596,0.45509807062401464,0.15463158620989256,2.3374549923907173
6,289,-680.9057263057013,0.9866290329425756,39.98393201083756,0.585876594351177,0.15527758304712408,2.6109166581555003
7,296,-660.7457263057012,0.9906971618877303,39.97779822889348,0.6147317676650381,0.15463012496480472,2.505831533637928
8,303,-640.5857263057012,1.0362650958192647,39.99539860410563,0.7229950053786425,0.15891080068031804,2.765495585938285
9,310,-620.4257263057012,1.0178509356075287,39.999038440229114,0.560004068722213,0.15114203117437555,2.606273568818599
10,317,-600.2657263057013,1.0777509901727138,39.99939166231236,0.5210148435973423,0.15300466154533016,2.7538617386609587
11,324,-580.1057263057012,1.0436336078166009,39.999397296754324,0.6316290017485464,0.1567158895138931,2.877123663306592
12,331,-559.9457263057012,1.0873919167196382,39.98393289249387,0.6362317474842865,0.140970684490784,2.8819298464889855
13,338,-539.7857263057012,1.1076028568508327,39.977792405050735,0.4278182619575617,0.14453557101052497,2.831333837865256
14,345,-519.6257263057012,1.0926288967430033,39.995398499933046,0.5357577834218947,0.15189878643002971,2.986154152661844
15,352,-499.4657263057012,1.1208291425207604,39.9990384325054,0.706016972802539,0.15658305243192414,3.0359271906817105
16,359,-479.3057263057012,1.0919743826414663,39.99939166147006,0.7206066815660961,0.15437530081351142,3.1410185796816226
