,lineout pixel,Radius (\mum),amp1_general,amp2_general
0,331,-950.5245338550003,0.1470834008941388,0.12749452787397142
1,341,-899.2245338550001,0.2927508570873081,0.12516468589314675
2,351,-847.9245338550002,0.3726825203043187,0.3435609841453738
3,360,-801.7545338550001,0.2912471880386497,0.42822796052824735
4,370,-750.4545338550001,0.23571749845993212,0.22902740557767684
5,380,-699.1545338550002,0.33270862726225925,0.3415368530217238
6,390,-647.8545338550002,0.36324505986664146,0.41317652967320784
7,399,-601.6845338550002,0.4006553043342663,0.4928628665943453
8,409,-550.384533855,0.9277315407208119,0.31399202486115146
9,419,-499.08453385500025,0.33421225262976517,0.28826266133729733
10,429,-447.78453385500006,0.2235661245673624,0.2213186184693154
11,438,-401.614533855,0.23597488570134525,0.21500038771687702
12,448,-350.31453385500026,0.23561424584878377,0.21014508249571479
13,458,-299.0145338550001,0.1605513153391239,0.19254488329636257
14,468,-247.71453385500035,0.18173913640598754,0.17149061403407329
15,477,-201.54453385500028,0.1756501618794487,0.1354174070432486
16,487,-150.2445338550001,0.20084166192039019,0.1494496046519715
17,497,-98.94453385500037,0.17642830125307796,0.11685241529587344
