,lineout pixel,Radius (\mum),Te_species1,Ti_species2,Z_species2,amp3_general,ud_general,Va_general
0,380,-355.8800000000001,0.556031571930621,0.45453969268754546,14.791659416007088,1.0108614348278318,44.65498096900491,3.3014126538359667
1,395,-312.83000000000015,0.41822272305886865,0.5950426254430835,13.342597501093021,1.1100409938018554,41.90552749875367,3.194400029390152
2,410,-269.7800000000002,0.4309489864344902,0.5883889922583307,13.544795219055251,1.0642661481516666,41.68027619453516,2.71289472423085
3,425,-226.73000000000002,0.4495907084076078,0.628994297365229,13.517092654205424,1.0731401028714673,41.903968201253484,1.6972766656267324
4,440,-183.68000000000006,0.3691703514738463,0.5453714744861943,13.388013999193983,1.0548053407478097,37.95808925826047,0.554878347786536
5,455,-140.6300000000001,0.4819727775562242,0.6209992072542899,13.706671592133278,1.0118437130774944,40.86546701677165,2.8965332352137607
6,470,-97.58000000000015,0.4607701238619406,0.6167635204697798,13.571167808235332,1.004946760461452,42.11895983422514,0.8103117623985034
7,485,-54.52999999999997,0.4559602630510423,0.5875422628448128,13.62887517397201,1.0025196138933417,40.65519930044128,0.027479859941761386
8,500,-11.480000000000018,0.4947171448193587,0.6452962235796388,13.983507360945506,1.0000312214453286,41.590643732876956,0.19171883805784606
9,515,31.569999999999936,0.5090189530393591,0.6446259315942203,14.095157864898171,1.0109687852245635,42.246731616197074,0.2515143513877205
10,530,74.61999999999989,0.6298681470872778,0.731897420127481,14.911592557714206,0.9874881554613184,40.29245514384891,0.9349144636540285
11,545,117.66999999999985,0.6578737412014772,0.7188992899101403,14.88141745431668,0.9609444383351345,38.31868482199905,0.6245643869462203
12,560,160.72000000000003,0.6935304107393533,0.6871429005778038,15.255105588836512,0.9088389048536799,39.48394674007039,0.4265508585891076
13,575,203.76999999999998,0.703338898947028,0.6392229474243067,15.817539560574897,0.9385586042589121,41.15882977118952,0.13478389111559963
14,590,246.81999999999994,0.7479392792298163,0.36923808228074584,16.694278927416995,1.0298669093225665,46.34534713913858,-0.13644126933162082
15,605,289.8699999999999,0.9990534137299157,0.07836591706038758,16.981525644934724,0.9158201035086349,53.24782948158791,-1.4916580594140472
16,620,332.91999999999985,1.1963016135786924,0.057553095074310855,18.0,1.0599539265662874,59.49103380962195,-3.7021258698985005
17,635,375.97,1.2,0.032120745453723044,18.0,1.0125139625073536,71.54563377159668,-4.508012276556585
18,650,419.02,1.2,0.01,18.0,0.9647142135742744,89.09678986604517,-5.774849054049146
19,665,462.06999999999994,1.1999827059291908,0.01,17.995396465111778,0.9850296648975708,86.06680046084885,-6.528835498370337
20,680,505.1199999999999,1.2,0.01,18.0,1.0038790354498368,69.98169015181377,-7.192986666938748
21,695,548.1699999999998,0.6639116382846217,0.06039608030814846,16.70989340091841,0.8362126318395733,66.12052144460779,-3.5400383744509156
22,710,591.22,0.4204873147557063,0.40504236791786336,13.735174057111276,0.3774918418250941,49.66282574039877,-1.582885423067334
23,725,634.2699999999998,0.5892173021908859,0.41981759623929576,15.188840649466881,0.4761070419946937,45.96988530552848,2.865513145864782
24,740,677.3199999999999,0.5768113640383419,0.44731896809504434,15.023073536834708,1.1574770775863805,45.082757966188545,3.001329146255085
