,lineout pixel,Radius (\mum),Va_general,amp3_general,lam_general,ud_general,Te_species1,Ti_species2
0,310,-697.41,0.5328713808374843,0.8639431638366593,526.3460439302343,0.49976032777195306,0.29209932729737453,0.03822289782673934
1,325,-654.36,0.5417766849863646,0.7466346215390346,526.3420218353666,0.4999007247619117,0.308973288582878,0.043057654264201856
2,340,-611.31,0.6062883103196361,0.9238199506537702,526.3422553972974,0.48977394674399927,0.3234963263493314,0.04711993229812552
3,355,-568.26,3.5,0.8045162115871198,526.3990256063247,0.4719741061929949,0.3441674958549093,0.04903442445372088
4,370,-525.21,0.5292435120153753,0.529171565287513,526.3383636192806,0.4995531997741064,0.35342165596879915,0.05876155929622767
5,385,-482.1600000000001,0.49832958083009193,0.9459636653242426,526.3489801395235,0.5000803183635133,0.4136183196890681,0.052137249800146175
6,400,-439.1099999999999,0.5267514630918999,0.8755632647362603,526.3611054909936,0.5001147794743006,0.3852355956384509,0.058062791657464134
7,415,-396.05999999999995,0.514870979439041,0.8377593699351547,526.3647535462849,0.5005178697250664,0.4041424509551598,0.05860087139183483
8,430,-353.01,0.4953491391816191,0.913696700941845,526.3675846129954,0.5007793815966178,0.4027247456757936,0.06345475422069574
9,445,-309.96000000000004,0.519263320419556,0.8611763768826575,526.3814100820181,0.5000801107685183,0.4128410165198185,0.06408896973895656
10,460,-266.9100000000001,-0.6127878857542077,0.8548179721277748,526.3648848707433,0.516971753877019,0.41023643092074547,0.06538473338004076
11,475,-223.8599999999999,0.18047520319879876,0.8495896360050033,526.3881088023289,0.5080959794561165,0.4083680476597445,0.0718771666266931
12,490,-180.80999999999995,-0.9520085204118987,0.8975535264914916,526.3730518100604,0.5338065041188029,0.4176751049537135,0.06740734056578769
13,505,-137.76,-1.0,0.8754368675858841,526.3837668095651,0.5334075642226217,0.41117765752449204,0.06543934607372404
14,520,-94.71000000000004,-1.0,0.810466199654693,526.3940589487587,0.5249502490135239,0.4052119219380304,0.06309097486495771
15,535,-51.659999999999854,-1.0,0.7739518259533622,526.4036909022631,0.5349449479206565,0.39073797102216173,0.060610029262015884
16,550,-8.6099999999999,-1.0,0.7202224692765326,526.4099446416934,0.527628047244918,0.3826292396175709,0.05671852747276364
17,565,34.440000000000055,-1.0,0.764958871810155,526.4188524353534,0.5313906231078426,0.36039149196741704,0.05550131509785789
18,580,77.49000000000001,-1.0,0.8331681929064676,526.43194277522,0.5148671891795691,0.3624028287649733,0.05131637453070225
19,595,120.53999999999996,-1.0,0.7820751327662643,526.4304827606591,0.5115382203379725,0.347208460104791,0.04837765057765184
20,610,163.59000000000015,0.49606336542572743,0.5549794291621921,526.4567065051294,0.5002022621414799,0.3498278752510116,0.04464884675560487
21,625,206.6400000000001,0.49388597919015975,0.5177840367922528,526.4665921967481,0.5002072087455162,0.3534962062665019,0.045700791518608036
22,640,249.69000000000005,0.4903012917349306,0.6557592180772369,526.458035937543,0.5004600235631181,0.2990410421668467,0.04166746197140176
23,655,292.74,0.47939597405437623,0.7054870476167887,526.4589938407115,0.500627756237746,0.3482355529657708,0.029037718013320044
