,initial_losses,losses,initial_reduced_losses,reduced_losses
0,26864.767116303075,26864.767116303075,63.43510535136499,63.43510535136499
1,32378.455632651476,32378.455632651476,76.45444069103063,76.45444069103063
2,23980.974221421697,23980.974221421697,56.6256770281504,56.6256770281504
3,26872.514626895303,26872.514626895303,63.453399355124674,63.453399355124674
4,64587.95576049574,64587.95576049574,152.50993095748697,152.50993095748697
5,63365.031812226625,63365.031812226625,149.62227110325057,149.62227110325057
6,21324.205926013154,21324.205926013154,50.352316236158565,50.352316236158565
7,29230.879328838062,29230.879328838062,69.02214717553261,69.02214717553261
8,26357.435986079352,26357.435986079352,62.2371569919229,62.2371569919229
9,27597.065114493438,27597.065114493438,65.16426237188533,65.16426237188533
10,25675.86444501917,25675.86444501917,60.62777909095435,60.62777909095435
11,38446.96576927153,38446.96576927153,90.78386250123145,90.78386250123145
12,32706.971202725403,32706.971202725403,77.23015632284628,77.23015632284628
13,30502.070017926653,30502.070017926653,72.02377808247142,72.02377808247142
14,29814.372461613566,29814.372461613566,70.39993497429413,70.39993497429413
15,29902.4422438726,29902.4422438726,70.60789195719622,70.60789195719622
16,36028.026478211694,36028.026478211694,85.07208141254236,85.07208141254236
17,25856.701593546204,25856.701593546204,61.054785344855254,61.054785344855254
18,26696.20719767232,26696.20719767232,63.03708901457454,63.03708901457454
19,28423.93691393247,28423.93691393247,67.11673415332342,67.11673415332342
20,52412.90739134264,52412.90739134264,123.76129254154105,123.76129254154105
21,77322.37075882747,77322.37075882747,182.57938786027736,182.57938786027736
22,34867.02389574224,34867.02389574224,82.33063493681756,82.33063493681756
23,57142.77328851263,57142.77328851263,134.9298070567004,134.9298070567004
