,lineout pixel,Radius (\mum),lam_general,amp3_general,ud_general,Te_electron,Ti_ion-1,Z_ion-1
0,238,-799.2409043519999,526.4049507503476,0.3690322035038602,-1.7535721816485363,0.12138758078902234,0.39741340431514127,2.566647046914121
1,255,-750.2809043519999,526.3890812622762,0.43632270179983507,-1.5015801803755906,0.09550592557867163,0.33601727058879793,2.289120613380133
2,272,-701.3209043519998,526.4418073918928,0.43188147680081385,0.05561820747757196,0.08034338910819443,0.19001841826491436,2.055364216805425
3,290,-649.4809043519999,526.4050956654821,0.5054844592063507,-0.19763258043061427,0.1639505295885465,0.1523620368465166,2.903563623191493
4,307,-600.5209043519999,526.4453885103414,0.3685135910758016,5.248136134492004,0.11943166906762505,0.11786609549080576,2.3751390876600587
5,325,-548.6809043519999,526.3898049430618,0.4521752425909312,1.1326304995641294,0.28171103337289105,0.058722930061146636,3.354590457171555
