,lineout pixel,Time (ps),Te_species1,Ti_species2,amp3_general,lam_general,ud_general,Va_general
0,-760,1325,0.8199984697998202,0.16000009717265026,0.7499550922188283,526.5012765623276,2.6000010116571337,-15.001454990901033
1,-717,1540,0.41008502200812197,0.07775541817612466,0.9260162100659601,526.3727318415048,2.6452584822244374,-15.518501388264863
2,-674,1755,0.9076906037119558,0.18742079269225995,0.45265549848936726,526.8582748738941,2.6018861196995813,-15.613307082802367
3,-631,1970,0.7869759335064767,0.15773843545954003,0.6796980782831191,525.8794160578276,2.603618905407765,-14.83875936217191
4,-588,2185,0.795828423488334,0.15735094737999936,0.2750642634570559,525.9831116553147,2.6019968632502932,-14.583686676899584
5,-545,2400,0.8235972742878754,0.16157763512339643,0.5993514498712217,525.3052947259322,2.6001002274529394,-13.691724624078242
6,-502,2615,0.8200170212037156,0.16002997747582856,0.7473288570445394,526.5081190544045,2.600016676087049,-15.009499453374048
7,-459,2830,0.8199801865679915,0.16000163474089735,0.7496294804360499,526.5013341523871,2.600002186442638,-15.00148751631115
8,-416,3045,0.81998590684481,0.16000239665735386,0.7495922309513422,526.5006081685184,2.6000025279430905,-15.000736385202469
9,-373,3260,0.8200163252465699,0.16001189470987537,0.7493802362229904,526.4992659501972,2.6000025719563857,-14.99938238929849
