,lineout pixel,Radius (\mum),amp1_general,amp2_general
0,331,-950.5245338550003,0.028531856113448044,0.24624306951685043
1,341,-899.2245338550001,0.25641205807136713,0.34099655059709916
2,351,-847.9245338550002,0.20472890812303807,0.6475234113900981
3,360,-801.7545338550001,0.13759705710382408,0.5826287388655199
4,370,-750.4545338550001,0.35216951296225857,1.5229357598367224
5,380,-699.1545338550002,0.20437173178036921,0.405509438147087
6,390,-647.8545338550002,0.197623913632248,0.290432946465769
7,399,-601.6845338550002,0.24458747292838715,0.22800092472456102
8,409,-550.384533855,0.23864835972315804,0.12444151295346424
9,419,-499.08453385500025,0.25323420430507726,0.09197127463170948
10,429,-447.78453385500006,0.2356432530409761,0.060829114239818606
11,438,-401.614533855,0.26195157490304716,0.076217381434023
12,448,-350.31453385500026,0.34070626228496614,0.13928991188932077
13,458,-299.0145338550001,0.20444453290078146,0.11893938156936304
14,468,-247.71453385500035,0.27154676761773416,0.0682352518851909
15,477,-201.54453385500028,0.26888840671447023,0.015186621903035418
16,487,-150.2445338550001,0.23777473301126456,0.04438842614219575
17,497,-98.94453385500037,0.24043241887079644,0.04824542167401597
