,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,261,-768.6132479999999,0.1419393927861342,0.06397627204963788,0.6720073216856751,0.800404049336511,0.9033650016510236,0.24870698837580002,8.925100133694999,0.09681079610015692,4.0341344744565415
1,271,-739.8132479999998,0.16468976262062984,0.060232407426410096,0.6482747062568726,0.8762919758450431,0.7879029737601085,0.2533503650910642,8.593411650174009,0.1049503642189586,3.916793640874108
2,282,-708.1332479999999,0.16244949027237648,0.06814049568647755,0.6514728062784165,0.9718333452413619,0.8688930506623517,0.24987668810016692,8.549474395569495,0.12734372285633896,3.78985340597506
3,292,-679.3332479999999,0.1612612148132186,0.07481535543404388,0.7389550037806563,0.9804350998026863,1.0317878414231032,0.24839974279878538,8.960462143586438,0.14548942178171959,3.953834105823988
4,302,-650.5332479999998,0.15442328706303182,0.08333778616745975,0.705463928907784,0.749622525633226,0.8488875182624513,0.2478071892073768,8.693575490713158,0.14249522736749307,4.595464986342326
5,313,-618.8532479999999,0.1808731777950941,0.0881323785330013,0.7318320286356594,0.7896571142743615,0.7591286800915419,0.2500814367853721,8.79628804552564,0.16741503216014117,3.797483843825561
6,323,-590.0532479999998,0.19003856965976001,0.0973828661103923,0.6403287341638125,0.720893935421796,0.9287554374895775,0.24874716283539333,8.47729312837612,0.12157096007878918,4.160547833519908
7,334,-558.3732479999999,0.2042122389617499,0.10202461152762149,0.6050334689093179,0.7032153313210001,0.8823396032530056,0.25340871668924675,8.664731929843047,0.14539025020757024,3.909224186275507
8,344,-529.5732479999999,0.19301844184442363,0.11006849263915108,0.6094089780049056,0.7431834391840246,0.7110227067527385,0.2502677483793242,9.263486248808876,0.17013961088626706,3.627568127132453
9,355,-497.89324799999986,0.15680722501831557,0.1310464720634462,0.6183191550373807,0.7574734934815465,0.6121301251498037,0.2496160638995899,10.952859907314169,0.12965838921646242,3.5817376769670988
10,365,-469.0932479999999,0.12760307861872838,0.23419430303469776,0.5578057420041224,0.6377846808892174,0.6135766936651984,0.24962588752839546,10.81966065722209,0.1458091310505912,4.276715327292552
11,375,-440.29324799999995,0.20524519778948436,0.3010910963794952,0.5343862013261761,0.6751222703752466,0.5624870315058456,0.25093603510469964,9.12587961058497,0.2545257901354323,3.115014998185991
12,386,-408.6132479999999,0.1887323053893627,0.16988793067957714,0.46962748853427844,0.5545413556386776,0.8647253618759961,0.24891822701945276,8.226553312396058,0.13030391655407458,4.192748013234554
13,396,-379.81324799999993,0.20856463743863635,0.1726700749362971,0.4150081101315017,0.5142470880483307,0.7615917376895361,0.25360810171467285,8.87971449350509,0.14778296743758038,3.9172961692739277
14,407,-348.13324799999987,0.16662574110870096,0.2246307602733271,0.4197321104775215,0.5487432187249319,0.682214208527959,0.25029374536597326,9.273314357774309,0.17254113435927496,3.61143960235033
15,417,-319.3332479999999,0.15545219045185077,0.2090085050281478,0.49762419661770224,0.6089631998008971,0.622909844166522,0.24971067482063544,10.892874311355808,0.1316771599757337,3.5713063587807117
16,427,-290.53324799999996,0.12943791307214558,0.207442144022956,0.5871799310070306,0.6516899721246046,0.6235385699626281,0.24524033977878595,10.086802836457254,0.1481702338047001,4.269398915345963
17,438,-258.8532479999999,0.1708123849366055,0.3086451277394995,0.4687389044532811,0.6721411672055624,0.5721964369123869,0.25040700232785656,8.935347206699792,0.25813537587576396,3.11211132897245
18,448,-230.05324799999994,0.19787245363012923,0.19404362667274566,0.4664887466414284,0.5491780639951832,0.865453327286915,0.24892634531120503,8.228376615455733,0.1305598048048918,4.192407347329807
19,459,-198.37324799999988,0.23015696938235813,0.20939542596119096,0.41387393588471705,0.5093699517996052,0.7615729343526113,0.2536179002536063,8.867193458517884,0.1481319039239282,3.9172946069436634
20,469,-169.57324799999992,0.16052063384592563,0.2255121119933361,0.4303446496910031,0.5579321067087993,0.6824828641169683,0.25026913202713597,9.260520172871447,0.17281009603256556,3.6116919568011507
