,lineout pixel,Time (ps),Te_species1,ne_species1,amp1_general,amp2_general
0,290,1455,0.152158040440741,0.09339968905589155,0.88033050843106,0.9401933534157648
1,300,1505,0.33342575100221916,0.11157872530909012,0.6719601747524525,0.5762611843747074
2,310,1555,0.490695860195794,0.13966786967414668,0.6579843234034906,0.5610611077970212
3,320,1605,0.43422602642266844,0.207655550437615,0.807757262243961,0.14453603578477772
4,330,1655,0.7769233510035007,0.18553364374244918,0.6435949719424305,0.7843859765443516
5,340,1705,0.7207765296022285,0.2074434967229053,0.6872910742656491,0.4175714596700619
6,350,1755,0.7638092045910255,0.20880945898431785,0.6925104848909656,0.4757186735563973
7,360,1805,0.866801982519881,0.21687516913850588,0.6434281363777796,0.46575544193902885
8,370,1855,0.8811414612554255,0.2228669251763688,0.6088717944111977,0.4717492990887874
9,380,1905,0.893084512144644,0.22563056378999427,0.6228182238170831,0.5243422979876773
10,390,1955,0.8443414542039188,0.24444013879952786,0.6441294508839166,0.49995595652759994
11,400,2005,0.8612735548326163,0.25443810928180655,0.6628907386553261,0.5202423991920584
12,410,2055,0.01,0.2437897532314234,0.01,0.01
13,420,2105,0.01,0.75,0.01,0.01
14,430,2155,0.01,0.554313425780341,0.01,0.01
15,440,2205,0.01,0.23707010379848364,0.01,0.01
16,450,2255,0.01,0.6982364979145451,0.01,0.01
17,460,2305,0.01,0.5597994932073652,0.01,0.01
18,470,2355,0.01,0.014620856415362017,0.05603367905852249,0.1055485616962868
19,480,2405,0.8676040058572881,0.2574439527687847,0.6641636596292693,0.4762440849610763
20,490,2455,0.933557692256801,0.24028960822577453,0.6810924015893023,0.5143296057996402
21,500,2505,0.9361549687616979,0.2421196233920694,0.6555238177386733,0.5444163565383795
22,510,2555,0.9448587751966867,0.2328639938454991,0.6643770072879783,0.493998325261967
23,520,2605,0.8061362995632747,0.23519785996993672,0.6866044474677904,0.2522592643021686
24,530,2655,0.30056724654597994,0.11274739113717024,0.9504227702167043,0.9866487723213554
25,540,2705,0.11855889839375534,0.29234790293362767,0.9494818681989274,0.8756154114931246
26,550,2755,0.040683964500765564,0.19612013157661137,1.1410765912968022,0.9714017734373092
27,560,2805,0.45986971425293743,0.2421387788104076,0.9090853730371978,1.0157918565995288
28,570,2855,0.36416645791359664,0.261140183816332,1.0128160282287144,0.9447654223059867
29,580,2905,0.2371637228604114,0.24883341484002483,0.9093262321240613,0.9580323200742314
30,590,2955,1.25,0.15815379248912773,0.5158274042740806,0.5202046925665348
31,600,3005,1.25,0.1522876084891733,0.4909169474907948,0.4720616305954229
32,610,3055,0.5089286656551283,0.16757537207514633,0.64436243343364,0.32023377464168
33,620,3105,0.4517999319007242,0.16892052533332716,0.6939623170949648,0.275057564116259
34,630,3155,1.25,0.14167469829397364,0.42188388238762903,0.32677605337112875
35,640,3205,1.25,0.13791948954078773,0.46469264404731486,0.45600764597639165
36,650,3255,1.25,0.1395350655312416,0.4635068399519715,0.4474751537790384
37,660,3305,1.25,0.1318163198670213,0.4505069641756379,0.44847052759409206
38,670,3355,1.25,0.12304378380761138,0.404739914823409,0.34624751555619676
39,680,3405,1.25,0.14263045267770746,0.5373896423769068,0.5997555306554935
40,690,3455,1.25,0.17257103668185986,0.5937161921291056,0.5080836554892878
41,700,3505,1.25,0.2308925286239536,0.841689788971229,0.7859738576725496
