,initial_losses,losses,initial_reduced_losses,reduced_losses
0,47.03296034476987,47.03296034476987,42.75723667706352,42.75723667706352
1,71.12972919221818,71.12972919221818,64.6633901747438,64.6633901747438
2,29.54348124231282,29.54348124231282,26.85771022028438,26.85771022028438
3,31.630996659068035,31.630996659068035,28.755451508243667,28.755451508243667
4,88.96499894275489,88.96499894275489,80.87727176614081,80.87727176614081
5,90.24957111064943,90.24957111064943,82.04506464604492,82.04506464604492
6,26.584988774774235,26.584988774774235,24.16817161343112,24.16817161343112
7,31.67330575032345,31.67330575032345,28.793914318475863,28.793914318475863
8,26.23754602935427,26.23754602935427,23.852314572140244,23.852314572140244
9,25.358101464568776,25.358101464568776,23.05281951324434,23.05281951324434
10,111.4818635785661,111.4818635785661,101.34714870778735,101.34714870778735
11,123.65367110750735,123.65367110750735,112.41242827955213,112.41242827955213
12,100.89202097492443,100.89202097492443,91.72001906811312,91.72001906811312
13,75.26851119055634,75.26851119055634,68.42591926414212,68.42591926414212
14,88.3934653010218,88.3934653010218,80.35769572820163,80.35769572820163
15,152.7907811574982,152.7907811574982,138.90071014318016,138.90071014318016
16,122.01097345337102,122.01097345337102,110.91906677579183,110.91906677579183
17,118.84238462050375,118.84238462050375,108.03853147318522,108.03853147318522
18,4959.5474127323605,4959.5474127323605,4508.679466120328,4508.679466120328
19,119.50522228214477,119.50522228214477,108.64111116558615,108.64111116558615
20,88.26592230037815,88.26592230037815,80.24174754579832,80.24174754579832
21,96.88524475881643,96.88524475881643,88.07749523528766,88.07749523528766
22,105.48897706057978,105.48897706057978,95.89907005507253,95.89907005507253
23,119.73285008386078,119.73285008386078,108.84804553078251,108.84804553078251
24,37.16585285589225,37.16585285589225,33.78713895990204,33.78713895990204
25,186.94029787805897,186.94029787805897,169.94572534368996,169.94572534368996
26,136.90614929284683,136.90614929284683,124.46013572076984,124.46013572076984
27,168.1314525234617,168.1314525234617,152.8467750213288,152.8467750213288
28,167.40190575020029,167.40190575020029,152.18355068200026,152.18355068200026
29,164.44279783736087,164.44279783736087,149.49345257941897,149.49345257941897
30,233.32620053548914,233.32620053548914,212.11472775953555,212.11472775953555
31,271.2484954294082,271.2484954294082,246.58954129946198,246.58954129946198
32,310.77552584378157,310.77552584378157,282.52320531252866,282.52320531252866
33,322.0586099204262,322.0586099204262,292.7805544731147,292.7805544731147
34,473.1572144918971,473.1572144918971,430.14292226536094,430.14292226536094
35,811.6335665628237,811.6335665628237,737.8486968752942,737.8486968752942
36,1636.925903837374,1636.925903837374,1488.1144580339762,1488.1144580339762
37,1147.229923887924,1147.229923887924,1042.9362944435672,1042.9362944435672
38,265.778983354915,265.778983354915,241.61725759537725,241.61725759537725
39,83386.7932979435,83386.7932979435,75806.17572540317,75806.17572540317
40,2578.483072990498,2578.483072990498,2344.0755209004524,2344.0755209004524
41,819.7317213014214,819.7317213014214,745.2106557285649,745.2106557285649
42,1013.4082033181937,1013.4082033181937,921.2801848347215,921.2801848347215
43,1028.8715166438942,1028.8715166438942,935.3377424035401,935.3377424035401
44,4447.701774312109,4447.701774312109,4043.365249374644,4043.365249374644
45,3229.1921119236977,3229.1921119236977,2935.6291926579065,2935.6291926579065
46,904.3433376018909,904.3433376018909,822.1303069108098,822.1303069108098
47,1063.9349944481412,1063.9349944481412,967.213631316492,967.213631316492
48,1951.7781889742337,1951.7781889742337,1774.343808158394,1774.343808158394
49,171.34433329202952,171.34433329202952,155.76757572002683,155.76757572002683
50,1301.2449468991394,1301.2449468991394,1182.9499517264903,1182.9499517264903
51,785.6103478769661,785.6103478769661,714.1912253426964,714.1912253426964
52,828.0045554383297,828.0045554383297,752.7314140348451,752.7314140348451
53,598.210598538731,598.210598538731,543.8278168533918,543.8278168533918
54,627.6634196017123,627.6634196017123,570.6031087288294,570.6031087288294
55,699.9127844113242,699.9127844113242,636.2843494648401,636.2843494648401
56,711.0368615197541,711.0368615197541,646.39714683614,646.39714683614
57,852.9255315425684,852.9255315425684,775.3868468568803,775.3868468568803
58,805.8823003387989,805.8823003387989,732.6202730352717,732.6202730352717
59,802.5627326914496,802.5627326914496,729.6024842649541,729.6024842649541
60,107.01105998222891,107.01105998222891,97.28278180202628,97.28278180202628
