,lineout pixel,Radius (\mum),amp1_general,amp2_general,amp3_general,ud_general,Va_general,Te_electron,ne_electron,m_electron,Ti_ion-1,Z_ion-1
0,242,-816.265724350804,0.8515559373536181,1.0134838157053363,1.0500868104629066,24.219587630972008,0.8174359508190605,0.1626974233366081,0.07499736213129554,2.027226492008197,0.09303388591048097,3.275003839994706
1,253,-784.585724350804,0.7911805404420041,0.9933700618991065,1.100342761923939,17.274793288879714,0.7456811783298498,0.17458707254528255,0.0790559410460064,2.0235559207553337,0.09805211523340912,3.781224674983064
2,263,-755.785724350804,0.6478534896027196,1.1551608977130297,1.182313121845871,27.31038537315208,0.4432636269814587,0.1952161314305811,0.0943520360061906,2.015411074501163,0.09887456809576423,3.023294625126752
3,274,-724.1057243508039,0.9052428192680477,1.1444884169660055,1.1423713425901216,29.935045420240662,0.08531081309576294,0.20543132193416916,0.09326419207888068,2.012229480701152,0.09890346926077695,2.632594865200522
4,284,-695.305724350804,0.7532178937225045,1.1076262372974421,1.214335722872584,29.634507354356437,0.3283413173407155,0.20966907567217416,0.10059095407004834,2.01325662141893,0.09897017475074917,2.536509019263316
5,295,-663.6257243508039,0.8403824414630374,0.9081090115356655,1.2506759399113756,29.19011293745976,0.49163017065892944,0.21203578617034388,0.10401623235370229,2.017144322120942,0.09897941963216296,2.5665849968024954
6,305,-634.825724350804,0.9198148567592351,1.1405856491837876,1.2954076074979783,26.61130138179154,0.364818123196045,0.21154230680641348,0.11036355384561865,2.0222528807768234,0.09898887358758503,2.7619040111875663
7,315,-606.025724350804,0.8606642521412174,1.3233949553559203,1.2815693611975711,17.401989478073276,0.28684763125471946,0.20833084164427593,0.12168216691212881,2.020430447594697,0.09884105467542281,2.926759281195599
8,326,-574.345724350804,0.8922297998117462,1.221716614116848,1.2208865660297072,14.582048578474286,0.3912695759020224,0.21527685559716958,0.12432478559085391,2.0149254760393966,0.09891005852758529,3.0105336881431266
9,336,-545.545724350804,0.7423198832442947,1.0978471911803869,1.3736264652448944,29.924121014141264,0.2347211057449634,0.2555974890585848,0.12509510147150904,2.017130313710254,0.09892798481249038,2.4572161417690803
10,347,-513.8657243508039,0.7052206764858768,1.261414812944721,1.3799943392214458,28.759000261323315,0.22701596835154803,0.2383354713360354,0.13516254417923323,2.0189591940268343,0.09897282140226711,2.6909648153960095
11,357,-485.065724350804,0.9209159019772618,1.1890317833539765,1.1948590586350671,9.718014139766208,0.4747037735884376,0.23051228029951704,0.13989807642233643,2.0206921955058146,0.09898066139373325,3.0574031590203847
