,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,368,-900.9000903509998,0.924664767159807,0.10703672952634714,0.2803243763698566,0.13331512921817743
1,369,-895.7700903509999,0.9240163896097213,0.1209742845773583,0.277487644460326,0.1351218446652278
2,370,-890.6400903509998,0.9300814173210881,0.12512163153493633,0.2748404164570317,0.1379045523336845
3,371,-885.5100903509999,0.931211579304326,0.09343922640531942,0.2693834830950876,0.14133177319347437
4,372,-880.3800903509998,0.9424476560676924,0.11567208517538358,0.27101134978115077,0.14286636424906457
5,373,-875.2500903509999,0.15934405167642354,0.9218471526239801,0.1535024311242467,0.03960714992239039
6,374,-870.1200903509998,2.0989986017420654,3.68216306459381,1.9903418471507863,0.9649805831146292
7,375,-864.9900903509999,0.4705396796033434,2.716495617905728,0.2269595464877668,0.010000033711157813
8,376,-859.8600903509998,0.28096331541992187,0.40337057214633915,1.9999999980658605,0.010000000000026859
9,377,-854.730090351,0.1398889130631445,0.9364270256934715,0.15174850377236773,0.04778083388210634
10,378,-849.6000903509998,0.9025098968481173,0.13199100268696556,0.2742359804660041,0.15004803556625643
11,379,-844.470090351,0.9067183280791069,0.1329738285919578,0.2778995013605961,0.1505107541742817
12,380,-839.3400903509998,0.906284856946771,0.17043408051505096,0.2878947675140993,0.14950742437317158
13,381,-834.210090351,0.8909443570393323,0.2393544878817058,0.3027874787376259,0.14709217495911536
14,382,-829.0800903509999,0.8758271581041652,0.2547368441266372,0.3096536166552004,0.14691327454647143
15,383,-823.9500903509997,0.8801975824722266,0.2314471250037481,0.3096345684029436,0.14876162029041742
16,384,-818.8200903509999,0.877290660351841,0.23139607561356998,0.31215593336237685,0.1495263992817377
17,385,-813.6900903509998,0.8856273840142809,0.2375943772844881,0.3153587810007686,0.15025768157707342
18,386,-808.5600903509999,0.8873027170511238,0.2424073464383391,0.3155036077408392,0.15101989259375512
19,387,-803.4300903509998,0.18719996903928166,1.0072731482931985,0.16845794858989305,0.05410236875779269
