,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,233,-849.2533862399999,1.0285232212113724,19.950195627244582,9.04721951608986,0.11000201987435668,0.1,4.160129488490851
1,242,-823.33338624,1.2101341949297557,19.95015439947381,8.44072337130131,0.11000201988982537,0.1,4.283109360043688
2,250,-800.2933862399999,1.001553837458592,19.95016302159413,8.714020729284456,0.11000201988573667,0.1,4.247931557666835
3,259,-774.37338624,1.1098590133662014,19.95014369996038,8.767365909820462,0.11000201991580012,0.1,4.615273269107958
4,268,-748.4533862399999,1.192666770322206,19.950096109517162,8.182722569792784,0.11000201993281011,0.1,4.700568563406604
5,276,-725.4133862399999,1.2770819224496504,19.949935472121133,8.561698949503153,0.11000201996857388,0.1,4.782077122777315
6,285,-699.49338624,1.310448934514195,19.949857471422057,8.333075031679563,0.11000201999087668,0.1,4.863153032669509
7,294,-673.5733862399999,1.5080830607914515,19.94967668107799,8.411085064743528,0.11000202005484108,0.1,5.168226081494815
8,302,-650.5333862399999,1.2939852156088483,19.94956095362084,8.0078360250737,0.11000202010943148,0.1,5.421994637445726
9,311,-624.61338624,1.2038588959717484,19.949417641187935,8.599111408630385,0.11000202014468538,0.1,5.472614471222634
10,320,-598.6933862399999,1.271201462472019,-1.3794724328200267,8.885452116431178,0.11000208929468033,0.1,6.882828993835537
11,329,-572.7733862399999,1.2694204453801123,2.008173294879004,8.476433647869424,0.11000209488851749,0.1,6.980028750756341
12,337,-549.73338624,1.2833903028487257,1.443959629251431,8.3475300488879,0.1100021845491447,0.1,6.9999208539101865
13,346,-523.8133862399999,0.9305244022980538,1.2180079038050486,9.221699568518467,0.11000218386333341,0.1,6.9999208380043045
14,355,-497.8933862399999,0.7770167717300709,1.7514342513660353,9.999818093628082,0.11000215601783377,0.1,6.999920194832421
15,363,-474.85338623999996,0.670849861899098,1.7355849493641244,9.999818253898894,0.11000215512460884,0.1,6.999920174100121
