,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general
0,388,-798.3000903509999,0.1604706374483787,0.06816883843720041,0.2809485611800978,1.0595184852218338
1,390,-788.0400903509999,0.166818128335231,0.0687344980338955,0.20281760608408136,0.9176494982764142
2,392,-777.7800903509999,0.1658641181274431,0.07703538006418255,0.3286923496386837,1.0180200741657555
3,394,-767.5200903509999,0.1694987474873377,0.07585410844248289,0.2696460907269363,1.0162151507504777
4,395,-762.3900903509998,0.1790390826865184,0.07507836601920853,0.2652077042495541,1.0644738103748719
5,397,-752.1300903509998,0.16681590129940949,0.07978627281177139,0.20421355072664027,1.1232816851623657
6,399,-741.8700903509998,0.16376599904795902,0.08325432111966459,0.2625744417988117,1.0611356876912383
7,401,-731.610090351,0.17507342963149533,0.08338477394714247,0.2266618719634399,1.0073884490746212
8,403,-721.3500903509998,0.18051436844908897,0.07975203449778243,0.13109015349094882,0.9816521518127804
9,405,-711.0900903510001,0.19311994140289127,0.08139644452871973,0.15504112345911167,0.9874434577299528
10,407,-700.8300903509999,0.17191006635399583,0.08818528517010689,0.12410303712019428,1.2126514482552673
11,409,-690.5700903509996,0.1717021763443516,0.08868732386192729,0.15774752012002674,1.2272307978864114
12,411,-680.3100903509999,0.17881374006962056,0.08951969570297233,0.17036381258535335,1.2158274491648007
13,413,-670.0500903509997,0.1834283675713508,0.08937149452745971,0.08881799867437845,1.0553636593400113
14,415,-659.7900903509999,0.18751450550201226,0.092764154122774,0.1281540673308572,1.0951277586755166
15,417,-649.5300903509997,0.16957541288878514,0.10216907420308177,0.14790330209051206,1.1964734587652077
16,419,-639.2700903509999,0.1722846936011296,0.10127912411835016,0.13157098927150543,1.2647952575907369
17,421,-629.0100903509997,0.179710536038399,0.09837508732904657,0.07884619433361911,1.1978543164767619
18,423,-618.7500903509999,0.1965314560421157,0.0984807938427735,0.08392707703779421,1.234122273644129
19,425,-608.4900903509997,0.19111275162592206,0.10342444983819213,0.08606886276716019,1.2548550577917101
